assembly_accession,protein_id,hmm_accession,hmm_query,domain,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species,id
GCA_001563875.1,LKMN01000003.1_40,PF04122.15,CW_binding_2,Archaea,Nanohaloarchaeota,Nanosalinia,Nanosalinales,Nanosalinaceae,B1-Br10-U2g19,B1-Br10-U2g19 sp001563875,LKMN01000003.1_40@GCA_001563875.1
GCA_001563885.1,LKMM01000162.1_2,PF01476.23,LysM,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrarchaeobaculum,Natrarchaeobaculum sp001563885,LKMM01000162.1_2@GCA_001563885.1
GCA_001564255.1,LKNC01000182.1_2,PF01476.23,LysM,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Tc-Br11-E2g1,Tc-Br11-E2g1 sp001564255,LKNC01000182.1_2@GCA_001564255.1
GCA_001717015.1,MAGV01000015.1_8,PF01476.23,LysM,Archaea,Thermoproteota,Methanomethylicia,Methanomethylicales,Methanomethylicaceae,Methanosuratincola,Methanosuratincola petrocarbonis,MAGV01000015.1_8@GCA_001717015.1
GCA_001723855.1,ODS37899.1,PF01476.23,LysM,Archaea,Altiarchaeota,Altiarchaeia,IMC4,MCBC01,MCBC01,MCBC01 sp001723855,ODS37899.1@GCA_001723855.1
GCA_001761425.1,AOV94634.1,PF04122.15,CW_binding_2,Archaea,Nanohaloarchaeota,Nanosalinia,Nanosalinales,Nanosalinaceae,Nanohalobium,Nanohalobium sp001761425,AOV94634.1@GCA_001761425.1
GCA_001761425.1,AOV94635.1,PF04122.15,CW_binding_2,Archaea,Nanohaloarchaeota,Nanosalinia,Nanosalinales,Nanosalinaceae,Nanohalobium,Nanohalobium sp001761425,AOV94635.1@GCA_001761425.1
GCA_001800825.1,OGS59990.1,PF08823.14,PG_binding_2,Archaea,Thermoplasmatota,Thermoplasmata,RBG-16-68-12,RBG-16-68-12,RBG-16-68-12,RBG-16-68-12 sp001800825,OGS59990.1@GCA_001800825.1
GCA_001871475.1,OIO21269.1,PF01471.21,PG_binding_1,Archaea,Micrarchaeota,Micrarchaeia,Anstonellales,CG1-02-47-40,CG1-02-47-40,CG1-02-47-40 sp001871475,OIO21269.1@GCA_001871475.1
GCA_001915065.1,OLB47224.1,PF07653.20,SH3_2,Archaea,Thermoproteota,Bathyarchaeia,40CM-2-53-6,40CM-2-53-6,40CM-2-53-6,40CM-2-53-6 sp001915065,OLB47224.1@GCA_001915065.1
GCA_001915065.1,OLB47224.1,PF00018.31,SH3_1,Archaea,Thermoproteota,Bathyarchaeia,40CM-2-53-6,40CM-2-53-6,40CM-2-53-6,40CM-2-53-6 sp001915065,OLB47224.1@GCA_001915065.1
GCA_001919285.1,OLD56156.1,PF07653.20,SH3_2,Archaea,Thermoproteota,Bathyarchaeia,40CM-2-53-6,40CM-2-53-6,40CM-2-53-6,40CM-2-53-6 sp001919285,OLD56156.1@GCA_001919285.1
GCA_001919285.1,OLD56156.1,PF00018.31,SH3_1,Archaea,Thermoproteota,Bathyarchaeia,40CM-2-53-6,40CM-2-53-6,40CM-2-53-6,40CM-2-53-6 sp001919285,OLD56156.1@GCA_001919285.1
GCA_001940705.1,OLS21343.1,PF08823.14,PG_binding_2,Archaea,Asgardarchaeota,Thorarchaeia,Thorarchaeales,Thorarchaeaceae,SMTZ1-45,SMTZ1-45 sp001940705,OLS21343.1@GCA_001940705.1
GCA_001940725.1,OLS23043.1,PF07653.20,SH3_2,Archaea,Asgardarchaeota,Heimdallarchaeia,UBA460,Kariarchaeaceae,LC-2,LC-2 sp001940725,OLS23043.1@GCA_001940725.1
GCA_001940725.1,OLS23043.1,PF13457.9,GW,Archaea,Asgardarchaeota,Heimdallarchaeia,UBA460,Kariarchaeaceae,LC-2,LC-2 sp001940725,OLS23043.1@GCA_001940725.1
GCA_001940725.1,OLS23043.1,PF00018.31,SH3_1,Archaea,Asgardarchaeota,Heimdallarchaeia,UBA460,Kariarchaeaceae,LC-2,LC-2 sp001940725,OLS23043.1@GCA_001940725.1
GCA_002011125.1,MTMF01000003.1_72,PF04122.15,CW_binding_2,Archaea,Hydrothermarchaeota,Hydrothermarchaeia,Hydrothermarchaeales,Hydrothermarchaeaceae,Hydrothermarchaeum,Hydrothermarchaeum profundi,MTMF01000003.1_72@GCA_002011125.1
GCA_002011125.1,MTMF01000013.1_45,PF04122.15,CW_binding_2,Archaea,Hydrothermarchaeota,Hydrothermarchaeia,Hydrothermarchaeales,Hydrothermarchaeaceae,Hydrothermarchaeum,Hydrothermarchaeum profundi,MTMF01000013.1_45@GCA_002011125.1
GCA_002011125.1,MTMF01000014.1_158,PF04122.15,CW_binding_2,Archaea,Hydrothermarchaeota,Hydrothermarchaeia,Hydrothermarchaeales,Hydrothermarchaeaceae,Hydrothermarchaeum,Hydrothermarchaeum profundi,MTMF01000014.1_158@GCA_002011125.1
GCA_002067365.1,OPY55024.1,PF01476.23,LysM,Archaea,Halobacteriota,Methanosarcinia,Methanotrichales,Methanotrichaceae,Methanothrix,Methanothrix sp002067365,OPY55024.1@GCA_002067365.1
GCA_002067705.1,OPY56249.1,PF01471.21,PG_binding_1,Archaea,Halobacteriota,Methanosarcinia,Methanotrichales,Methanotrichaceae,Methanothrix,Methanothrix sp002067705,OPY56249.1@GCA_002067705.1
GCA_002068435.1,OPZ41884.1,PF05036.16,SPOR,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,UBA9949,UBA9949 sp002068435,OPZ41884.1@GCA_002068435.1
GCA_002254745.1,OYT60773.1,PF08823.14,PG_binding_2,Archaea,Thermoproteota,Thermoprotei_A,EX4484-217-1,EX4484-217-1,EX4484-217-1,EX4484-217-1 sp002254745,OYT60773.1@GCA_002254745.1
GCA_002256595.1,OYV09741.1,PF01471.21,PG_binding_1,Archaea,Halobacteriota,Methanosarcinia,Methanotrichales,Methanotrichaceae,Methanothrix,Methanothrix sp002256595,OYV09741.1@GCA_002256595.1
GCA_002494885.1,DACV01000006.1_8,PF01471.21,PG_binding_1,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium_D,Methanobacterium_D sp002494885,DACV01000006.1_8@GCA_002494885.1
GCA_002494885.1,DACV01000007.1_157,PF01471.21,PG_binding_1,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium_D,Methanobacterium_D sp002494885,DACV01000007.1_157@GCA_002494885.1
GCA_002495625.1,DAGC01000007.1_9,PF01476.23,LysM,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium_A,Methanobacterium_A sp002495625,DAGC01000007.1_9@GCA_002495625.1
GCA_002496565.1,DAKJ01000022.1_10,PF01471.21,PG_binding_1,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina sp002496565,DAKJ01000022.1_10@GCA_002496565.1
GCA_002496805.1,DALO01000017.1_54,PF01471.21,PG_binding_1,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium sp002496805,DALO01000017.1_54@GCA_002496805.1
GCA_002496805.1,DALO01000031.1_3,PF01471.21,PG_binding_1,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium sp002496805,DALO01000031.1_3@GCA_002496805.1
GCA_002496905.1,DALV01000075.1_12,PF01471.21,PG_binding_1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-O1,MGIIb-O1 sp002496905,DALV01000075.1_12@GCA_002496905.1
GCA_002498125.1,DAGG01000031.1_14,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,UBA525,UBA525,UBA525 sp002498125,DAGG01000031.1_14@GCA_002498125.1
GCA_002498385.1,DAHH01000013.1_17,PF01471.21,PG_binding_1,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium_C,Methanobacterium_C sp002498385,DAHH01000013.1_17@GCA_002498385.1
GCA_002498385.1,DAHH01000016.1_106,PF01471.21,PG_binding_1,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium_C,Methanobacterium_C sp002498385,DAHH01000016.1_106@GCA_002498385.1
GCA_002498385.1,DAHH01000021.1_2,PF01471.21,PG_binding_1,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium_C,Methanobacterium_C sp002498385,DAHH01000021.1_2@GCA_002498385.1
GCA_002499445.1,DALS01000058.1_20,PF01471.21,PG_binding_1,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina sp002499445,DALS01000058.1_20@GCA_002499445.1
GCA_002502855.1,DAQK01000046.1_61,PF01471.21,PG_binding_1,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium_A,Methanobacterium_A sp002502855,DAQK01000046.1_61@GCA_002502855.1
GCA_002503205.1,DARE01000013.1_26,PF08823.14,PG_binding_2,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,UBA447,UBA447 sp002503205,DARE01000013.1_26@GCA_002503205.1
GCA_002503395.1,DARQ01000019.1_1,PF01471.21,PG_binding_1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,UBA60,UBA60 sp002503395,DARQ01000019.1_1@GCA_002503395.1
GCA_002503985.1,DASW01000007.1_19,PF08823.14,PG_binding_2,Archaea,Thermoplasmatota,Thermoplasmata,UBA184,UBA184,UBA184,UBA184 sp002503985,DASW01000007.1_19@GCA_002503985.1
GCA_002505495.1,DAVI01000078.1_11,PF01471.21,PG_binding_1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-Q1,MGIIb-Q1 sp002505495,DAVI01000078.1_11@GCA_002505495.1
GCA_002505765.1,DAVZ01000004.1_32,PF01471.21,PG_binding_1,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium_D,Methanobacterium_D sp002505765,DAVZ01000004.1_32@GCA_002505765.1
GCA_002505805.1,DAWB01000155.1_4,PF01471.21,PG_binding_1,Archaea,Halobacteriota,Methanosarcinia,Methanotrichales,Methanotrichaceae,Methanothrix,Methanothrix sp002505805,DAWB01000155.1_4@GCA_002505805.1
GCA_002508425.1,DAKU01000127.1_5,PF01471.21,PG_binding_1,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanomethylovorans,Methanomethylovorans sp002508425,DAKU01000127.1_5@GCA_002508425.1
GCA_002509665.1,DADN01000153.1_4,PF01471.21,PG_binding_1,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium_D,Methanobacterium_D sp002509665,DADN01000153.1_4@GCA_002509665.1
GCA_002509665.1,DADN01000217.1_10,PF01471.21,PG_binding_1,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium_D,Methanobacterium_D sp002509665,DADN01000217.1_10@GCA_002509665.1
GCA_002509665.1,DADN01000217.1_9,PF01471.21,PG_binding_1,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium_D,Methanobacterium_D sp002509665,DADN01000217.1_9@GCA_002509665.1
GCA_002509665.1,DADN01000217.1_9,PF09374.13,PG_binding_3,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium_D,Methanobacterium_D sp002509665,DADN01000217.1_9@GCA_002509665.1
GCA_002685895.1,MAE38978.1,PF01471.21,PG_binding_1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-Q1,MGIIb-Q1 sp002685895,MAE38978.1@GCA_002685895.1
GCA_002686195.1,MAG24308.1,PF01471.21,PG_binding_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,ARS23,ARS23 sp002686195,MAG24308.1@GCA_002686195.1
GCA_002686195.1,MAG25584.1,PF01471.21,PG_binding_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,ARS23,ARS23 sp002686195,MAG25584.1@GCA_002686195.1
GCA_002686195.1,MAG25836.1,PF01471.21,PG_binding_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,ARS23,ARS23 sp002686195,MAG25836.1@GCA_002686195.1
GCA_002686195.1,MAG27712.1,PF01471.21,PG_binding_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,ARS23,ARS23 sp002686195,MAG27712.1@GCA_002686195.1
GCA_002686195.1,MAG28018.1,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,ARS23,ARS23 sp002686195,MAG28018.1@GCA_002686195.1
GCA_002686315.1,MAG73007.1,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR9,UBA11998,UBA11998 sp002686315,MAG73007.1@GCA_002686315.1
GCA_002687255.1,MAE50161.1,PF01471.21,PG_binding_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,ARS50,ARS50 sp002687255,MAE50161.1@GCA_002687255.1
GCA_002687775.1,MAF99140.1,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR9,NZBF01,NZBF01 sp002687775,MAF99140.1@GCA_002687775.1
GCA_002687795.1,MAG07876.1,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GCA-2687795,GCA-2687795,GCA-2687795 sp002687795,MAG07876.1@GCA_002687795.1
GCA_002690445.1,MAH44952.1,PF01471.21,PG_binding_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,ARS10,ARS10 sp002690445,MAH44952.1@GCA_002690445.1
GCA_002690445.1,MAH47919.1,PF01471.21,PG_binding_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,ARS10,ARS10 sp002690445,MAH47919.1@GCA_002690445.1
GCA_002693165.1,MAM42632.1,PF01476.23,LysM,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,UBA57,UBA57,UBA57 sp002693165,MAM42632.1@GCA_002693165.1
GCA_002713325.1,MBE44764.1,PF05036.16,SPOR,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,UBA213,UBA213,UBA213 sp002713325,MBE44764.1@GCA_002713325.1
GCA_002725475.1,MBO57457.1,PF01471.21,PG_binding_1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-Q1,MGIIb-Q1 sp002725475,MBO57457.1@GCA_002725475.1
GCA_002727675.1,MBS71920.1,PF01471.21,PG_binding_1,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-Q1,MGIIb-Q1 sp002727675,MBS71920.1@GCA_002727675.1
GCA_002762985.1,PIN85992.1,PF01471.21,PG_binding_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,UBA12501,1-14-0-10-44-13,1-14-0-10-44-13 sp002762985,PIN85992.1@GCA_002762985.1
GCA_002763025.1,PIN88058.1,PF01471.21,PG_binding_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR9,1-14-0-10-32-24,1-14-0-10-32-24 sp002763025,PIN88058.1@GCA_002763025.1
GCA_002792115.1,PIZ50628.1,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR9,GCA-002792115,GCA-002792115 sp002792115,PIZ50628.1@GCA_002792115.1
GCA_002825515.1,PJET01000032.1_8,PF08823.14,PG_binding_2,Archaea,Asgardarchaeota,Thorarchaeia,Thorarchaeales,Thorarchaeaceae,SMTZ1-45,SMTZ1-45 sp002825515,PJET01000032.1_8@GCA_002825515.1
GCA_002838935.1,PKK85283.1,PF04122.15,CW_binding_2,Archaea,Thermoplasmatota,E2,GCA-002838935,GCA-002838935,GCA-002838935,GCA-002838935 sp002838935,PKK85283.1@GCA_002838935.1
GCA_002839705.1,PKL68939.1,PF01471.21,PG_binding_1,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,UBA349,UBA349 sp002839705,PKL68939.1@GCA_002839705.1
GCA_002877855.1,PMP60017.1,PF08823.14,PG_binding_2,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Acidilobaceae,Caldisphaera,Caldisphaera sp002877855,PMP60017.1@GCA_002877855.1
GCA_002897655.1,GBE19753.1,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,BMS3ABIN17,BMS3ABIN17 sp002897655,GBE19753.1@GCA_002897655.1
GCA_002897955.1,GBE54266.1,PF04122.15,CW_binding_2,Archaea,Hydrothermarchaeota,Hydrothermarchaeia,Hydrothermarchaeales,BMS3B,BMS3B,BMS3B sp002897955,GBE54266.1@GCA_002897955.1
GCA_002923215.1,GBE17646.1,PF04122.15,CW_binding_2,Archaea,Hydrothermarchaeota,Hydrothermarchaeia,Hydrothermarchaeales,SZUA-236,SZUA-236,SZUA-236 sp002923215,GBE17646.1@GCA_002923215.1
GCA_002923215.1,GBE18987.1,PF04122.15,CW_binding_2,Archaea,Hydrothermarchaeota,Hydrothermarchaeia,Hydrothermarchaeales,SZUA-236,SZUA-236,SZUA-236 sp002923215,GBE18987.1@GCA_002923215.1
GCA_003009815.1,PSH00269.1,PF04122.15,CW_binding_2,Archaea,Nanohaloarchaeota,Nanosalinia,Nanosalinales,Nanosalinaceae,SW-4-43-9,SW-4-43-9 sp003009815,PSH00269.1@GCA_003009815.1
GCA_003020945.1,PSQ07631.1,PF08823.14,PG_binding_2,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halobaculum,Halobaculum sp003020945,PSQ07631.1@GCA_003020945.1
GCA_003021085.1,PSP75469.1,PF08239.14,SH3_3,Archaea,Halobacteriota,Halobacteria,Halobacteriales,PXRE01,PXRE01,PXRE01 sp003021085,PSP75469.1@GCA_003021085.1
GCA_003021175.1,PSP58122.1,PF08823.14,PG_binding_2,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halosegnis,Halosegnis sp003021175,PSP58122.1@GCA_003021175.1
GCA_003021305.1,PSP31698.1,PF01476.23,LysM,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,QH-10-67-22,QH-10-67-22 sp003021305,PSP31698.1@GCA_003021305.1
GCA_003021305.1,PSP32855.1,PF01476.23,LysM,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,QH-10-67-22,QH-10-67-22 sp003021305,PSP32855.1@GCA_003021305.1
GCA_003021785.1,PSP37514.1,PF08823.14,PG_binding_2,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halosegnis,Halosegnis sp003021785,PSP37514.1@GCA_003021785.1
GCA_003021975.1,PSQ02803.1,PF08823.14,PG_binding_2,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halomarina,Halomarina sp003021975,PSQ02803.1@GCA_003021975.1
GCA_003022005.1,PSQ09079.1,PF08823.14,PG_binding_2,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,QS-5-70-15,QS-5-70-15 sp003022005,PSQ09079.1@GCA_003022005.1
GCA_003022865.1,PSQ39384.1,PF08823.14,PG_binding_2,Archaea,Halobacteriota,Halobacteria,Halobacteriales,SW-7-71-33,SW-7-71-33,SW-7-71-33 sp003022865,PSQ39384.1@GCA_003022865.1
GCA_003023185.1,PSQ24454.1,PF08823.14,PG_binding_2,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halosegnis,Halosegnis sp003023185,PSQ24454.1@GCA_003023185.1
GCA_003023195.1,PSQ18642.1,PF08823.14,PG_binding_2,Archaea,Halobacteriota,Halobacteria,Halobacteriales,SW-7-71-33,SW-7-71-33,SW-7-71-33 sp003023195,PSQ18642.1@GCA_003023195.1
GCA_003023195.1,PSQ19188.1,PF01476.23,LysM,Archaea,Halobacteriota,Halobacteria,Halobacteriales,SW-7-71-33,SW-7-71-33,SW-7-71-33 sp003023195,PSQ19188.1@GCA_003023195.1
GCA_003144275.1,PWI47328.1,PF08823.14,PG_binding_2,Archaea,Asgardarchaeota,Heimdallarchaeia,Hodarchaeales,Hodarchaeaceae,Hodarchaeum,Hodarchaeum sp003144275,PWI47328.1@GCA_003144275.1
GCA_003151535.1,PLXT01000064.1_42,PF01471.21,PG_binding_1,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium_B,Methanobacterium_B sp003151535,PLXT01000064.1_42@GCA_003151535.1
GCA_003194445.1,PXF59443.1,PF05036.16,SPOR,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanogasteraceae,Methanogaster,Methanogaster sp003194445,PXF59443.1@GCA_003194445.1
GCA_003229935.1,QIGD01000044.1_1,PF04122.15,CW_binding_2,Archaea,Hydrothermarchaeota,Hydrothermarchaeia,Hydrothermarchaeales,BMS3B,BMS3B,BMS3B sp003229935,QIGD01000044.1_1@GCA_003229935.1
GCA_003230355.1,QIDD01000002.1_1,PF04122.15,CW_binding_2,Archaea,Hydrothermarchaeota,Hydrothermarchaeia,Hydrothermarchaeales,SZUA-236,SZUA-236,SZUA-236 sp003230355,QIDD01000002.1_1@GCA_003230355.1
GCA_003298465.1,RBI64707.1,PF08823.14,PG_binding_2,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus sp003298465,RBI64707.1@GCA_003298465.1
GCA_003336485.1,RCV64316.1,PF04122.15,CW_binding_2,Archaea,Halobacteriota,Syntropharchaeia,ANME-1,ANME-1,QENH01,QENH01 sp003336485,RCV64316.1@GCA_003336485.1
